permno,adate,qdate,public_date,pe_exi,TICKER
86964,2021-09-30,2021-12-31,2022-02-28,36.718,FFIV
86964,2021-09-30,2021-12-31,2022-03-31,38.199,FFIV
86964,2021-09-30,2021-12-31,2022-04-30,30.605,FFIV
86964,2021-09-30,2022-03-31,2022-05-31,28.654,FFIV
86964,2021-09-30,2022-03-31,2022-06-30,26.896,FFIV
86964,2021-09-30,2022-03-31,2022-07-31,29.413,FFIV
86964,2021-09-30,2022-06-30,2022-08-31,28.046,FFIV
86964,2021-09-30,2022-06-30,2022-09-30,25.845,FFIV
86964,2021-09-30,2022-06-30,2022-10-31,25.520,FFIV
86964,2022-09-30,2022-09-30,2022-11-30,29.338,FFIV
86964,2022-09-30,2022-09-30,2022-12-31,27.231,FFIV
86979,2008-12-31,2009-09-30,2010-01-31,57.744,JNPR
86979,2009-12-31,2009-12-31,2010-02-28,127.182,JNPR
86979,2009-12-31,2009-12-31,2010-03-31,139.455,JNPR
86979,2009-12-31,2009-12-31,2010-04-30,129.136,JNPR
86979,2009-12-31,2010-03-31,2010-05-31,50.226,JNPR
86979,2009-12-31,2010-03-31,2010-06-30,43.057,JNPR
86979,2009-12-31,2010-03-31,2010-07-31,52.415,JNPR
86979,2009-12-31,2010-06-30,2010-08-31,36.267,JNPR
86979,2009-12-31,2010-06-30,2010-09-30,40.467,JNPR
86979,2009-12-31,2010-06-30,2010-10-31,43.187,JNPR
86979,2009-12-31,2010-09-30,2010-11-30,40.500,JNPR
86979,2009-12-31,2010-09-30,2010-12-31,43.952,JNPR
86979,2009-12-31,2010-09-30,2011-01-31,44.190,JNPR
86979,2010-12-31,2010-12-31,2011-02-28,38.261,JNPR
86979,2010-12-31,2010-12-31,2011-03-31,36.591,JNPR
86979,2010-12-31,2010-12-31,2011-04-30,33.330,JNPR
86979,2010-12-31,2011-03-31,2011-05-31,33.898,JNPR
86979,2010-12-31,2011-03-31,2011-06-30,29.167,JNPR
86979,2010-12-31,2011-03-31,2011-07-31,21.657,JNPR
86979,2010-12-31,2011-06-30,2011-08-31,19.933,JNPR
86979,2010-12-31,2011-06-30,2011-09-30,16.438,JNPR
86979,2010-12-31,2011-06-30,2011-10-31,23.305,JNPR
86979,2010-12-31,2011-09-30,2011-11-30,23.905,JNPR
86979,2010-12-31,2011-09-30,2011-12-31,21.484,JNPR
86979,2010-12-31,2011-09-30,2012-01-31,22.032,JNPR
86979,2011-12-31,2011-12-31,2012-02-29,28.810,JNPR
86979,2011-12-31,2011-12-31,2012-03-31,28.962,JNPR
86979,2011-12-31,2011-12-31,2012-04-30,27.127,JNPR
86979,2011-12-31,2012-03-31,2012-05-31,29.655,JNPR
86979,2011-12-31,2012-03-31,2012-06-30,28.121,JNPR
86979,2011-12-31,2012-03-31,2012-07-31,30.224,JNPR
86979,2011-12-31,2012-06-30,2012-08-31,36.333,JNPR
86979,2011-12-31,2012-06-30,2012-09-30,35.646,JNPR
86979,2011-12-31,2012-06-30,2012-10-31,34.521,JNPR
86979,2011-12-31,2012-09-30,2012-11-30,51.371,JNPR
86979,2011-12-31,2012-09-30,2012-12-31,56.200,JNPR
86979,2011-12-31,2012-09-30,2013-01-31,63.943,JNPR
86979,2012-12-31,2012-12-31,2013-02-28,59.086,JNPR
